Epoch,train_loss,train_acc,val_loss,val_acc
1,0.565,0.94,0.563,0.949
2,0.523,0.959,0.538,0.959
3,0.511,0.964,0.539,0.959
4,0.504,0.967,0.54,0.959
5,0.496,0.97,0.549,0.952
6,0.49,0.972,0.538,0.96
7,0.484,0.974,0.546,0.953
8,0.478,0.977,0.54,0.956
9,0.473,0.979,0.541,0.958
10,0.468,0.981,0.557,0.947
